# schema_version	1
# quantity means assertion sites for upstream_case, represented fields for DTO rows, and represented artifacts otherwise.
# decision records the reviewed Bead for non-goals and the pinned SHA-256 for fixture rows.
category	id	source	selector	quantity	evidence	disposition	decision
upstream_case	upstream.SampleTest	test/test_coordgen.cpp	SampleTest	6	conformance/public_fixture_test_rehost.cpp::void SampleTest(	executable	-
upstream_case	upstream.TemplateTest	test/test_coordgen.cpp	TemplateTest	4	conformance/public_fixture_test_rehost.cpp::void TemplateTest(	executable	-
upstream_case	upstream.ClearWedgesTest	test/test_coordgen.cpp	ClearWedgesTest	7	conformance/public_fixture_test_rehost.cpp::void ClearWedgesTest(	executable	-
upstream_case	upstream.DisableMetalZOBs	test/test_coordgen.cpp	DisableMetalZOBs	6	conformance/public_fixture_test_rehost.cpp::void DisableMetalZOBs(	executable	-
upstream_case	upstream.terminalMetalZOBs	test/test_coordgen.cpp	terminalMetalZOBs	6	conformance/public_fixture_test_rehost.cpp::void terminalMetalZOBs(	executable	-
upstream_case	upstream.testMinimizedRingsShape	test/test_coordgen.cpp	testMinimizedRingsShape	7	conformance/public_fixture_test_rehost.cpp::void testMinimizedRingsShape(	executable	-
upstream_case	upstream.testPolyominoCoordinatesOfSubstituent	test/test_coordgen.cpp	testPolyominoCoordinatesOfSubstituent	2	conformance/public_test_rehost.cpp::void testPolyominoCoordinatesOfSubstituent()	executable	-
upstream_case	upstream.testPolyominoSameAs	test/test_coordgen.cpp	testPolyominoSameAs	11	conformance/public_test_rehost.cpp::void testPolyominoSameAs()	executable	-
upstream_case	upstream.testGetDoubleBondConstraints	test/test_coordgen.cpp	testGetDoubleBondConstraints	3	conformance/public_fixture_test_rehost.cpp::void testGetDoubleBondConstraints(	executable	-
upstream_case	upstream.testClockwiseOrderedSubstituents	test/test_coordgen.cpp	testClockwiseOrderedSubstituents	13	conformance/public_test_rehost.cpp::void testClockwiseOrderedSubstituents()	executable	-
upstream_case	upstream.testClockwiseOrderedNaN	test/test_coordgen.cpp	testClockwiseOrderedNaN	0	conformance/public_test_rehost.cpp::void testClockwiseOrderedNaN()	executable	-
upstream_case	upstream.testbicyclopentane	test/test_coordgen.cpp	testbicyclopentane	6	conformance/public_test_rehost.cpp::void testbicyclopentane()	executable	-
upstream_case	upstream.testFusedRings	test/test_coordgen.cpp	testFusedRings	2	conformance/public_test_rehost.cpp::void testFusedRings()	executable	-
upstream_case	upstream.testTemplates	test/test_coordgen.cpp	testTemplates	1	conformance/public_test_rehost.cpp::void testTemplates()	executable	-
